circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_squeeze,gpu_zkx,1,compile,2.312231,
keccak_squeeze,gpu_zkx,1,jit,27.908971,
keccak_squeeze,gpu_zkx,1,kernel,0.004512,
keccak_squeeze,gpu_zkx,1,d2h,0.000000,
keccak_squeeze,gpu_zkx,1,total,0.097024,10306.728
keccak_squeeze,gpu_zkx,64,compile,2.400909,
keccak_squeeze,gpu_zkx,64,jit,28.865617,
keccak_squeeze,gpu_zkx,64,kernel,0.003936,
keccak_squeeze,gpu_zkx,64,d2h,0.000000,
keccak_squeeze,gpu_zkx,64,total,0.343041,186566.620
keccak_squeeze,gpu_zkx,1024,compile,2.376743,
keccak_squeeze,gpu_zkx,1024,jit,30.030409,
keccak_squeeze,gpu_zkx,1024,kernel,0.017824,
keccak_squeeze,gpu_zkx,1024,d2h,0.000000,
keccak_squeeze,gpu_zkx,1024,total,5.335713,191914.370
keccak_squeeze,gpu_zkx,4096,compile,2.529474,
keccak_squeeze,gpu_zkx,4096,jit,37.411114,
keccak_squeeze,gpu_zkx,4096,kernel,0.059712,
keccak_squeeze,gpu_zkx,4096,d2h,0.000000,
keccak_squeeze,gpu_zkx,4096,total,26.677601,153537.044
keccak_squeeze,gpu_zkx,65536,compile,3.315825,
keccak_squeeze,gpu_zkx,65536,jit,380.887586,
keccak_squeeze,gpu_zkx,65536,kernel,0.807264,
keccak_squeeze,gpu_zkx,65536,d2h,0.000000,
keccak_squeeze,gpu_zkx,65536,total,599.679714,109285.004
keccak_squeeze,gpu_zkx,262144,compile,3.514203,
keccak_squeeze,gpu_zkx,262144,jit,1565.756247,
keccak_squeeze,gpu_zkx,262144,kernel,3.214272,
keccak_squeeze,gpu_zkx,262144,d2h,0.000000,
keccak_squeeze,gpu_zkx,262144,total,2094.024803,125186.674
